Thickness (mm),Measured Value,Sigma Transmission
0.762,0.692289414,0.026430589
1.016,0.611338525,0.022095764
0.2032,0.889707338,0.034329681
2.0828,0.448140668,0.017276774
1.778,0.488772722,0.019394396
